;Sexe;Age_en_Classes;Age;Niv_Education;Sexe_Age;Sexe_Educ;Age_Educ;Sex_Age_Edu;Important;Relance;CulturePays
918;Homme;60_64;63;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;avoir assez d'argent pour vivre.;l'école pour les enfants, pouvoir payer mon loyer, pouvoir payer les études et le loyer des étudiants.;c est bon, il y a la liberté, les soins médicaux, l école, la démocratie.
919;Femme;50_54;50;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé.;les enfants, les petitsenfants, aller camper avec ma fille, vivre au bord de la mer.;la littérature, la peinture.
920;Homme;50_54;52;faible;H31_55;H_faible;31_55_faible;H31_55_faible;ma femme et mes enfants.;trouver du travail, déménager d'ici pour habiter un petit pavillon, qu'on reste tous en bonne santé.;
921;Homme;18_19;18;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;travailler.;que ma famille n'ait pas de problème d'emploi.;ne sait pas ce que c est.
922;Femme;18_19;19;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;qu'il n'y ait pas de guerre dans le monde.;le problème de la famine, le chômage, le racisme.;bien, les paroles des chansons françaises, beaucoup de livres = bibliothèque, librairie. cinéma = au cinéma il y a plus de films français, c est une amélioration, mais à la télévision il y a plus de films américains, je préférerais de bons films français.
923;Femme;45_49;45;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;d'être reconnu et aimé.;trouver un sens à sa vie, se réaliser dans une dimension spirituelle, le spirituel passe avant le matériel, le trouver pour soi et le dire aux autres, liberté de ses opinions de pensée, d'expression.;je pense à des racines, des attaches, il faut tenir cette culture enracinée, il faudrait pouvoir l exporter, un peu comme les anglais exportent leur langue, il faut la défendre, car on est en train de se faire déculturer, et même acculturer au niveau de l éducation des enfants, développer l instruction civique, les valeurs morales. avoir la mémoire des grands hommes. danger de trop faire admirer la culture des autres.
924;Femme;35_39;36;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;l'amour.;santé, sérénité, croire dans l'humanité, soif d'absolu, prendre son temps pour regarder et pour penser, limite tes désirs à l'essentiel et tu seras heureux.;une grande fierté visàvis de notre passé. elle est très mal inculquée à nos enfants durant la scolarité.
925;Homme;25_29;25;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;famille.;travail, loisirs, amis.;je pense surtout aux écrivains, pas de mal, ne sais pas.
926;Femme;60_64;64;moyen;F>55;F_moyen;>55_moyen;F>55_moyen;la famille.;Dieu, l'amitié, ne pas être à la charge morale ni physique de mes enfants.;je trouve que les jeunes sont plus matérialistes que culturels, mais ça vient des parents, de l entourage = magasins et publicités. on essaye de faire pas mal de choses, associations, bibliothèques, cours, qui peuvent faire que... et même de bonnes émissions à la télévision = animaux, vie dans d autres pays, ville, campagne, mais est-ce que ces émissions ont beaucoup d écoute = horaires défavorables.
927;Femme;45_49;49;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la réussite de mes enfants, dans le bons sens, pas tellement dans l'argent, mais leur épanouissement.;la culture, le désintéressement, que le monde soit accueillant, amour et amitié partout moins d'égoïsme = moins de chacun pour soi.;on va dans le bon sens = les jeunes lisent beaucoup plus, font plus de choses culturelles, par exemple = musique. même nous (parents) si on se compare avec mes parents au même âge, on a plus envie de se cultiver.
963;Femme;25_29;27;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la paix.;entente, amour, liberté, bienêtre, la joie de vivre.;littérature, l art de vivre, la musique, cinéma, théâtre, peinture.
962;Femme;30_34;31;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;l'harmonie en famille.;pouvoir d'achat, avoir la possibilité d'élever les enfants correctement, la sécurité.;en France, on connaît pas bien son histoire. on attache plus d importance à l art et de la musique.
961;Femme;25_29;27;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;être heureuse.;bien s'entendre avec son mari, la famille, une bonne situation, avoir de l'argent, la santé.;la liberté, le savoir, le patrimoine, nos religions.
960;Homme;40_44;41;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la santé.;avoir du travail, avoir un salaire motivant.;elle est très riche mais elle dégénère depuis quelques décennies, elle n est pas assez poussée, elle est un peu laissée dans un placard.
959;Homme;20_24;24;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;ma famille.;travail, voyages, argent, célébrité, l'amour.;l art, les sites archéologiques, les loisirs.
958;Femme;25_29;27;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;l'amour.;la famille, sécurité, emploi, l'avenir des enfants, l'harmonie en famille, l'union après ma mort, la santé.;notre culture est en danger, et c est dommage, avec tous ces étrangers qui viennent chez nous. nos coutumes.
957;Homme;35_39;36;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;réussir dans ma vie de famille.;conserver mon emploi, la santé de ma famille.;aux grands écrivains que l on a connus à l école.
956;Homme;40_44;40;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;se sentir bien dans sa peau.;réussir sa vie.;première mondiale, pas assez exportée justement à ce niveau là.
967;Homme;20_24;22;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;l'amour.;travail, l'amitié, la santé.;ne voit pas.
965;Femme;20_24;22;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;le travail.;une voiture, le permis (conduire).;ne voit pas.
966;Femme;25_29;26;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;réussir sa vie.;les enfants, l'entente, vivre bien.;le sport.
770;Homme;20_24;20;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;avoir un travail sûr.;avoir une vie stable, un bon salaire et une vie heureuse.;la majeure partie des gens sont cultivés. c est le savoir et l intelligence.
765;Femme;50_54;52;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;c'est d'aimer et d'être aimé.;la sécurité matérielle et morale, le bien être de sa famille.;je pense que les enfants actuels ont certainement une formation moins importante que les générations d avant, ils sont moins cultivés.
766;Homme;30_34;30;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;c'est d'arriver à un équilibre entre la famille et le travail.;la santé, l'avenir des enfants.;"je trouve qu elle ne répond pas au terme ""culture"". la culture est jetée à la figure des gens sans la communiquer. c est communiquer ses connaissances sans les imposer."
767;Femme;20_24;20;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;être en bonne santé.;et avoir de quoi manger, ne pas avoir de problèmes d'argent et pas de problèmes dans le travail, question chômage.;Molière, ce qu on apprend à l école, il n y a rien qui me frappe d autre.
768;Femme;35_39;38;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;mon enfant, la famille.;de bons amis et les animaux, des gens aimables.;elle se perd un peu, les jeunes sont instruits, il y a beaucoup moins de politesse et plus personnel, on s occupe moins des autres.
769;Homme;30_34;30;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;les enfants.;le travail, le foyer, les vacances.;à l histoire, la culture française est plutôt en régression par rapport aux autres années.
801;Femme;40_44;44;faible;F31_55;F_faible;31_55_faible;F31_55_faible;une bonne entente familiale.;la réussite des enfants dans la vie.;on est mal placé au niveau livres, théâtre.
802;Homme;50_54;51;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;la dignité (pas au sens moral du terme).;le confort moral, le confort affectif, le confort matériel.;le rayonnement passé, le danger pluriculturel, la nécessité d ouverture d esprit.
804;Homme;55_59;58;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la famille.;la santé.;elle est en déclin à l heure actuelle. sa part dans le monde a bien baissé.
938;Homme;60_64;63;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;la famille.;
944;Femme;30_34;32;faible;F31_55;F_faible;31_55_faible;F31_55_faible;que je m'entende bien avec mon mari.;de bien s'aimer, d'aimer ses enfants, du travail.;
945;Femme;18_19;18;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;le travail, la famille, les loisirs.;
946;Femme;18_19;18;faible;F<=30;F_faible;<=30_faible;F<=30_faible;la santé.;avoir un travail qui plaît, bonne entente familiale, l'argent.;
947;Femme;60_64;62;faible;F>55;F_faible;>55_faible;F>55_faible;la santé.;bien s'entendre avec ses enfants, avoir la joie de voir grandir ses petitsenfants.;les savants, les arts, la médecine, le savoir, connaissances du monde.
948;Femme;30_34;30;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;l'amour, d'être heureux, l'argent.;la langue, la musique, spectacles, les
949;Homme;>70;73;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la santé.;l'amitié, l'aisance.;qu elle culture ? drôle de question, peutêtre l esprit.
943;Homme;25_29;27;faible;H<=30;H_faible;<=30_faible;H<=30_faible;la santé.;avoir de l'argent, être heureux, mes enfants heureux, de vivre le plus longtemps possible.;
942;Homme;45_49;48;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;santé.;travail, vie familiale, loisirs.;écrivains, les ministres.
941;Homme;45_49;47;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la santé.;du travail pour mes enfants, un peu plus d'argent, pouvoir travailler jusqu'à la retraite sans problèmes. pas de conflits de guerre, avoir des petitsenfants.;
940;Femme;>70;75;moyen;F>55;F_moyen;>55_moyen;F>55_moyen;bonne entente familiale.;vie libre et agréable avec des amis.;culture intellectuelle.
939;Homme;50_54;54;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;bonne santé.;du travail.;
950;Homme;>70;73;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;rester en bonne santé.;rien d'autre.;nous nous prenons pour le flambeau de la civilisation, c en est loin du compte.
951;Homme;18_19;18;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;trouver un idéal de vie.;résoudre les problèmes de surpopulation dans le monde, résoudre le chômage, rendre la société plus juste. que mon travail m'apporte toute satisfaction (sécurité, célébrité).;on ne peut pas dire qu elle s améliore, je remarque une culture en régression au niveau intellectuel et créatif, notamment chez mes élèves.
952;Femme;55_59;59;faible;F>55;F_faible;>55_faible;F>55_faible;que mes enfants réussissent.;la santé, avoir assez d'argent pour arriver à boucler les fins de mois.;qu il y en a peu. elle se détériore, il y a peu de gens qui continue à se cultiver pour une grande majorité qui s y ... et c est regrettable.
953;Femme;40_44;42;faible;F31_55;F_faible;31_55_faible;F31_55_faible;mes enfants et mon mari.;d'avoir le confort, d'être heureux en famille, c'est l'essentiel.;elle existe bien sûr, mais maintenant elle est beaucoup mélangée par ??????? celle des races que nous avons chez nous (arabes, noirs etc.).
954;Femme;30_34;31;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;être bien dans ma peau.;faire en sorte de réussir ma vie professionnelle et affective, être en bonne santé.;que le niveau n est pas très élevé, qu on n y attache moins d importance.
955;Homme;45_49;45;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;d'être équilibré et d'avoir les moyens de faire ce qu'il me plaît.;la santé, les loisirs, l'argent.;je pense qu elle se détériore et que c est très regrettable parce que c est une des meilleures au monde.
905;Homme;40_44;42;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;arriver à la retraite et en profiter un peu.;que les enfants réussissent leurs vies professionnelles.;bien placé, rien à envier aux autres.
904;Femme;30_34;32;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;le travail.;la santé.;ne sais pas.
903;Homme;30_34;30;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la famille proche.;la réussite sociale de nos enfants.;ne sais pas.
105;Femme;35_39;37;faible;F31_55;F_faible;31_55_faible;F31_55_faible;être heureux.;ne pas avoir de gros malheurs, que les enfants aient la santé.;Victor Hugo. la lecture.
330;Femme;35_39;39;faible;F31_55;F_faible;31_55_faible;F31_55_faible;le bonheur.;de ne pas être dans le besoin, de pouvoir donner à son entourage.;la culture, c est la connaissance en se divertissant.
331;Femme;50_54;52;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé.;l'argent, le travail.;
332;Homme;55_59;55;faible;H31_55;H_faible;31_55_faible;H31_55_faible;la santé.;pouvoir faire des affaires honnêtement.;aucune idée.
327;Homme;50_54;54;faible;H31_55;H_faible;31_55_faible;H31_55_faible;la liberté d'expression.;la liberté de produire ce qu'on désire produire.;elle devra évoluer beaucoup dans le respect de chacun.
328;Homme;65_70;68;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;l'argent, les loisirs.;
329;Femme;45_49;47;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé.;l'argent.;
353;Femme;30_34;33;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la santé.;l'argent, l'amour, le travail, les vacances, la famille, les enfants, la réussite.;les livres, l école, les écrivains, les bibliothèques, les prix littéraires.
662;Homme;18_19;19;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la santé.;l'amour, la musique.;
661;Femme;>70;76;faible;F>55;F_faible;>55_faible;F>55_faible;rien.;aucune.;on parle de la culture seulement les gens les enfants apprennent moins que nous.
159;Femme;20_24;24;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;l'argent, le travail, la réussite.;pour moi, c est la paix, le travail.
563;Femme;25_29;25;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;travailler.;avoir de l'argent, avoir une situation.;
562;Femme;25_29;27;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;ma fille.;mon mari, le futur bébé, la famille en général, que l'on manque de rien sans demander le superflu, qu'on arrive à soigner ces saloperies de maladies.;qu on ferait mieux de faire un peu moins d âne à l école. c est large la culture, c est vaste. il y a beaucoup trop d argent à la culture il vaut mieux donner plus d argent à la santé.
561;Femme;30_34;32;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la santé.;l'argent, que ça s'améliore dans la vie, question peuple, vie de tout le monde.;pas grand chose, les livres.
246;Femme;65_70;65;faible;F>55;F_faible;>55_faible;F>55_faible;la santé.;l'argent, l'amour dans le ménage.;c est bien, c est tout. ne sais pas.
235;Homme;20_24;20;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;moi, sérieusement sur le plan de la grandeur.;le bateau, la philosophie.;le steack-frites (Roland Barthes, sociologue), Johnny Hallyday, Antonin Artaud, Citroën.
234;Homme;25_29;25;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;être bien dans ma peau.;de m'entendre bien avec mon mari et ma famille.;Jack Lang, à la révolution et à la mode.
233;Femme;25_29;25;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;le bienêtre, la famille, l'emploi, avoir les moyens c'est très important maintenant.;on n’a pas assez de culture, on n’a pas assez d informations et surtout pas le temps et surtout manque de moyens. il faudrait un autre système d éducation dès la jeune enfance, apprendre des choses plus utiles.
232;Homme;25_29;26;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la santé.;le travail, la bonne marche de la maison et du couple.;français d abord, la langue française c est important pour celui qui s y intéresse.
347;Homme;60_64;60;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;l'accord dans le ménage.;la santé, la fidélité des enfants (adultes), la cohésion nationale.;trop politisées, difficile de dissocier culture et politique, monuments architecture.
989;Femme;>70;73;moyen;F>55;F_moyen;>55_moyen;F>55_moyen;la liberté.;la santé.;elle disparaît.
985;Femme;35_39;35;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;ma famille.;la santé, avoir du travail.;actuellement je crois ce n est pas très positif, on a vu mieux.
986;Homme;40_44;44;faible;H31_55;H_faible;31_55_faible;H31_55_faible;de respirer.;ma tranquillité, la santé, le travail.;une bonne chose mais pour ceux que ça intéresse.
988;Femme;40_44;43;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la santé.;le travail, l'argent.;elle fout le camp.
188;Homme;30_34;30;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;d'avoir des enfants.;de pouvoir les élever et qu'ils trouvent un travail après avoir fait des études.;elle n’est pas grand chose, très développée à tous les niveaux.
990;Femme;50_54;54;faible;F31_55;F_faible;31_55_faible;F31_55_faible;mes enfants.;la famille, des amis, je trouve qu'ils sont importants, ils nous aident à vivre, préparer sa retraite pour la passer le mieux possible dans 6 ans.;de s informer, d en savoir le plus possible pour être à l aise quand on est quelque part, connaître de plus en plus de choses.
644;Femme;35_39;39;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;un rythme équilibré.;une bonne santé, un travail où on s'épanouit, une bonne vie de famille.;elle est assez limitée pour la plupart des français, elle ne va pas en s améliorant malgré tous les efforts qui sont faits. il y a 25 % des élèves de 6ème qui arrivent en 2ème (dans ma campagne) et encore, ils n ont pas forcément leur bac.
643;Homme;50_54;51;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la santé.;la vie familiale, faire ce qui me plaît dans la vie, réussir son travail, la bonne entente dans le voisinage, création de certaines coopérations.;il y a des choses qui me choquent, de nos jours les colonnes de Buren par exemple, le centre Beaubourg. l instruction, les méthodes ne sont pas excellentes pour apprendre à lire dans les écoles. pour les maths c est pareil.
641;Homme;50_54;50;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;réussir mes enfants.;ne pas avoir de maladies, ne pas avoir trop de problèmes d'argent, ne pas avoir trop de problèmes de vieillesse.;"en premier c est la maison, la non violence, la compréhension, l accueil. et surtout les écrivains français, la plus belle littérature du monde ; la première de la culture mondiale avec la culture italienne."
642;Femme;60_64;64;superieur;F>55;F_superieur;>55_superieur;F>55_superieur;la vie de famille.;pouvoir rendre service aux autres, ne pas être trop affectée physiquement et moralement pour ne pas être une charge pour la famille. les valeurs religieuses et morales.;à propos des enfants, on cherche à les éveiller, mais les moyens sont douteux : bandes dessinées affreuses, c est nivellement par le bas, pourtant la télévision qui fait perdre tout niveau culturel. on ne lit pas assez, les adultes également.
640;Homme;65_70;68;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;l'équilibre intérieur.;la paix, la santé, la sincérité.;je crois qu elle est en décadence dans la masse et en progrès chez quelques individus. la culture de masse dégrade l individu et on se trompe par ce qu on appelle la culture dans la mesure où on en fait une activité extérieure.
696;Homme;20_24;24;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;être heureux.;faire ce qu'on souhaite au niveau du travail et de la vie et avoir une famille, et voir du pays. ça enveloppe pas mal de chose : la musique.;le bon gaulois chauvin, qu en a rien à foutre de son pays, mais qui quand il se trouve à l étranger se croit le meilleur et qui aime bien la bouffe.
622;Homme;18_19;18;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;le travail.;la santé, le foyer.;progrès dans l information, la télévision, la radio. école mieux développée.
627;Femme;40_44;42;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;la famille.;la santé, l'amitié.;elle est en déclin.
626;Femme;40_44;43;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la réussite professionnelle des enfants.;vie professionnelle du mari, l'entente familiale, la santé.;beaucoup à faire sur la culture française.
625;Femme;40_44;41;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;d'aimer et d'être aimée.;la santé.;que ce serait dommage de ne pas la conserver.
624;Homme;20_24;21;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;un sens de vie.;une possibilité de choisir son travail. un travail qui s'adapte bien à mes ambitions.;à la littérature.
689;Femme;65_70;65;moyen;F>55;F_moyen;>55_moyen;F>55_moyen;la santé.;la famille, la paix sociale en général, la pollution.;les arts, la richesse en architecture, littérature. c est tout. la science également fait partie de la culture.
688;Femme;30_34;33;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé.;les enfants, mon mari, l'argent, le travail, la famille.;Emile Zola, la comédie humaine, la musique, la littérature, le théâtre, le cinéma.
687;Femme;35_39;36;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;que mon mari garde son travail.;que toute la famille ait la santé, d'avoir un peu plus d'argent.;
623;Homme;65_70;66;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la santé.;la famille, vivre à l'aise sans trop de soucis financiers.;"je ne comprend pas la sculpture et la peinture ""modernes"", la musique débile, dans son ensemble la littérature française se porte bien."
621;Homme;30_34;30;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;un travail intéressant.;santé satisfaisante, la liberté d'expression, famille.;à l éducation, à la littérature.
671;Femme;25_29;28;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;l'argent, le bonheur.;pas grand chose, je ne sais pas, je ne vois rien.
881;Homme;>70;70;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;une bonne santé.;l'amour, les enfants.;elle est en déclin. elle a été une culture mondiale, elle a été...
494;Homme;20_24;23;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;d'avoir une maison à soi.;un foyer avec une famille ????????????????? un travail et ne rien devoir à personne.;elle est bien pour les français pour les gens qui travaille pour le pays elle est bien aussi, elle n est pas bien pour ceux qui viennent y vivre et travailler mais qui garde leur nationalité.
441;Femme;25_29;29;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;savoir aimer les autres, le foyer, la profession et quelques facilités financières.;musique, littérature, connaissances générales (sur la science technique....).
526;Homme;40_44;43;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;être bien dans sa peau.;être bien en ménage, avoir une bonne santé, avoir suffisamment d'argent pour ne pas souffrir du froid, de la faim, réussir ce qu'on entreprend.;des oeuvres d art, la littérature, les scientifiques. les tableaux. Matisse, Cézanne, Renoir. ça me fait penser au cinéma, la littérature française dans son ensemble.
528;Femme;25_29;28;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;avoir du travail, être heureux, avoir des enfants.;
529;Homme;18_19;18;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la santé.;le travail, les amis, l'argent.;l intelligence.
531;Homme;55_59;56;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;;de vivre correctement, envers soimême et son voisin, tout ce qui est relations humaines et qui n'existent plus.;Bechamp, les savants français, le savant atomiste français qui a dit que Tchernobyl correspondait à 3 % d exposition au soleil. actuellement, il n y a pas grand chose, on peut remonter à Rabelais.
530;Homme;55_59;59;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la santé.;la vie familiale, avoir les moyens de vivre.;l état s en occupe à l heure actuelle c est une bonne chose.
532;Femme;>70;75;faible;F>55;F_faible;>55_faible;F>55_faible;le bonheur des siens.;;elle n est pas si moche que ça, elle est bien, que les gens ne soient pas bêtes, pas idiots. il y a encore des valeurs, je ne vois pas les mots qui vont avec cela.
533;Femme;35_39;38;faible;F31_55;F_faible;31_55_faible;F31_55_faible;avoir la santé.;mes enfants, qu'ils aient la santé, qu'ils réussissent dans leurs études, qu'ils arrivent à avoir une situation stable, l'avenir de mes enfants, que mon mari ait toujours du travail.;musées, peintres, monde littéraire, musique, tout ce qui a rapport à l art, Beaubourg, l architecture, les cathédrales, les châteaux...
579;Homme;60_64;64;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;le repos.;une bonne santé.;
580;Femme;40_44;40;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la santé.;la famille, l'argent.;à la littérature, l éducation, le cinéma, les loisirs, le théâtre.
581;Homme;25_29;25;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;travailler pour assurer un bienêtre à ma famille.;réussir ce que j'entreprends dans mon travail, vivre longtemps et en bonne santé, satisfaire nos désirs (vie, loisirs etc.).;au niveau de la recherche en médecine on est bien placé. au niveau de l histoire de France on a un patrimoine bien préservé et mis en valeur, la culture se perd un peu on a un mélange de race qui fait que cela diminue.
582;Homme;40_44;41;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;c'est d'abord la santé.;la famille, le travail, mais j'ai des difficultés à faire la différence, pour moi c'est au même niveau.;qu elle se désagrège, rayonnement français devient affiche pour touristes. à la musique, à la gastronomie, à toute la littérature.
583;Femme;30_34;31;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;essayer de rendre ses proches heureux.;rien d'autre.;pas mise en valeur. on entend parler beaucoup, parler de celle d outreatlantique, surtout. au niveau des médias et pas assez de la française, on ne commence pas assez jeune à intéresser les enfants aux arts à la culture. quelque soit c est un apprentissage à faire.
584;Femme;50_54;52;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;bien s'entendre chez soi (en famille).;mon travail, sortir, les loisirs.;à la poésie, aux tableaux, j aime beaucoup la lecture.
505;Homme;20_24;24;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;bien connaître ses amis.;être connu et voyager.;connaissances.
506;Femme;30_34;33;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;avoir du travail.;pas de maladie, de l'argent.;elle est bonne, elle est meilleure qu ailleurs, on devrait la défendre, un peu plus.
507;Femme;50_54;54;faible;F31_55;F_faible;31_55_faible;F31_55_faible;avoir une bonne santé.;bien s'entendre avec ses enfants.;de plus en plus de gens sont cultivés maintenant, on a plus de moyens, on lit plus, même la télévision, on sait beaucoup plus de choses qu avant.
508;Homme;55_59;58;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la santé.;la situation des enfants.;elle n est pas mauvaise quand même, les gens cultivés sont des gens pas bêtes, intelligents.
509;Homme;65_70;68;faible;H>55;H_faible;>55_faible;H>55_faible;la bonne entente au sein de la famille.;la santé de tout le monde, la sécurité d'emploi.;c est quelque chose que l on doit sauvegarder par ce que très riche et profitable aux générations qui nous suivent.
510;Femme;35_39;39;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;le travail.;la santé avoir une famille autour de moi.;on perd un peu de culture. les enfants apprennent à lire très fort et on ne lit pas assez. la lecture est à la base de la culture.
534;Femme;55_59;57;faible;F>55;F_faible;>55_faible;F>55_faible;une bonne santé.;la santé de nos enfants et petitsenfants, leur bienêtre, qu'ils fassent de bonnes études, qu'ils arrivent à trouver un travail.;tout ce que les enfants apprennent à l école, bien que les enfants n en savent plus autant qu il y a 50 ans. ils en apprennent et en savent de moins en moins. la culture ce sont les études, beaucoup moins approfondies que dans le temps, plus superficielles.
527;Femme;25_29;26;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;d'arriver à vivre normalement, sans trop de soucis.;la santé.;
525;Homme;65_70;67;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;l'argent.;la lecture, l enseignement, l information par la télévision, les revues.
114;Homme;25_29;27;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;la meilleure entente familiale.;la santé des enfants et des proches, la réussite en même temps.;déjà la langue, tout ce qui est littérature, langue, musique.
1002;Homme;25_29;27;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;vivre heureux.;la famille, une grosse situation professionnelle.;l art, la mode.
504;Femme;25_29;26;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la sécurité d'un emploi.;la santé pour ses enfants, la peur de la guerre.;on ne fait pas suffisamment attention à l orthographe dans les écoles et le français parlé, je crois surtout ce qui me dérange dans le parler français.
803;Femme;20_24;23;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;être heureux.;les amies, la famille, l'amour.;elle est belle, elle est très riche.
800;Femme;45_49;49;faible;F31_55;F_faible;31_55_faible;F31_55_faible;l'amour.;l'intelligence, la tolérance.;la culture française, en général baisse à cause de l éducation.
632;Homme;55_59;56;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;la famille.;il y a eu beaucoup, mais il reste des choses à faire.
630;Homme;55_59;56;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;l'argent.;elle s est bien améliorée.
629;Femme;60_64;63;moyen;F>55;F_moyen;>55_moyen;F>55_moyen;la santé.;une bonne entente familiale.;elle est en baisse.
628;Femme;50_54;52;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la famille.;que tout le monde soit heureux, la paix.;
681;Homme;35_39;35;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;la santé.;;
